T,Au,Uu,Ru,Nu,Qu,As,Us,Rs,Ns,Qs
2.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
4.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
5.5,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
7.5,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
10.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
14.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
20.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
24.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
52.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
55.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
58.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
61.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
64.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
67.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
70.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
73.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
76.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
79.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.817443316890561,1.436694,0.713267
82.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.4629601349489891,0.713267
85.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.4629601349489891,0.713267
88.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.4629601349489891,0.713267
91.0,-11.527074,2775.5240436000004,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
94.0,-11.527074,2775.5240436000004,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
97.0,-11.527074,2775.5240436000004,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
100.0,-11.527074,2775.5240436000004,-5.602306,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
103.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,137.81710782972766,2.681844,1.436694,0.713267
106.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,137.81710782972766,2.681844,1.436694,0.713267
109.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,137.81710782972766,2.681844,1.436694,0.713267
112.0,-11.527074,2643.356232,-5.602306,3.061309,1.826901,0.0,137.81710782972766,2.681844,1.436694,0.713267
115.0,-11.527922750343468,2645.780177409444,-5.793876229235515,3.062058449593984,1.828848269669305,0.0,112.63519083077713,2.6845269334813135,1.43727256286435,0.7130434477308599
118.0,-11.528157178240987,2645.711639453715,-5.638486966569282,3.062532125950033,1.8289154607284304,0.0,127.14066891912051,2.6850891477329593,1.4373630974143528,0.7130416295417191
121.0,-11.52856163892984,2645.9556878753565,-5.632401593310561,3.063449638333415,1.8303568368307157,0.0,124.47088520096015,2.688114956001923,1.4374673457579334,0.7128326121907429
124.0,-11.532849618314957,2661.947160023854,-5.639979263923766,3.0689666254649017,1.8333394590569303,0.0,111.1993897327652,2.6924614773897626,1.4383772850310552,0.7124353751149638
127.0,-11.528455884995793,2645.9818684667853,-5.624371007972839,3.06359374004764,1.8301770110920221,0.0,125.93114148104127,2.687169258087708,1.437410427495781,0.7128546003168852
130.0,-11.531362771261119,2655.984076685979,-5.637148009671582,3.0687958145492376,1.833828468510524,0.0,111.84348916857742,2.6944840726151345,1.4384465810555853,0.7123736549487084
133.0,-11.529985409133552,2646.848775716261,-5.648021893035903,3.0679703699780125,1.8341137741360787,0.0,112.41626264219208,2.694555909331247,1.4384235980220232,0.7123531596002374
136.0,-11.527074,2643.356232,-5.8824213,3.061309,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
139.0,-11.527428334842021,2643.452183780419,-5.611478207038439,3.1400745779512835,1.8320395460519734,0.0,109.03434310057628,2.689295788895407,1.438158983350209,0.7125894232454082
142.0,-11.527074,2643.356232,-5.602306,3.21437445,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
145.0,-11.527074,2643.356232,-5.602306,3.21437445,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
148.0,-11.527074,2643.356232,-5.602306,3.21437445,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
151.0,-11.527074,2643.356232,-5.602306,3.21437445,1.826901,0.0,109.00126899999995,2.681844,1.436694,0.713267
