T,Au,Uu,Ru,Nu,Qu,As,Us,Rs,Ns,Qs
18.0,-9.430907284093696,778.3331257787147,-8.465757942162771,1.9475068251354504,-0.0016846501839587295,0.07560615644194692,18.326394642035538,1.1832926197588272,0.7852623601360929,0.29759062168080513
21.0,-9.711350288760961,710.588416594202,-5.953582543027107,3.9676335025273364,-0.000159895346054149,0.10575551983026246,24.718330349902853,1.1518897772046144,0.7990723855415438,0.3554491598840006
24.0,-9.628401943333575,810.3312069549215,-6.761718524207625,4.9200435042369595,0.0010248226837030919,0.11015615532168865,15.136531364711063,1.153681487668477,0.7925930918823912,0.3749181577915664
27.0,-9.535486387850591,850.0788569093502,-4.893735783630851,3.6854926404356414,-0.00016510397363709024,0.07072738012964326,26.838386267634764,1.2208101848736057,0.7656835421701401,0.4713386263502265
30.0,-10.106634800956513,797.8331526674069,-5.65080611809902,4.258315299899714,0.00012376270178648973,0.07324549710068816,27.356314406350926,1.190194484284344,0.7924297699810484,0.5280570401255563
33.0,-10.131229113591242,770.9184765436321,-5.683351872860541,4.250410099916977,0.00012360265302289634,0.06728137891888461,41.50746667680983,1.202827479728686,0.802760363458537,0.5195428593423721
36.0,-10.009068824426485,729.6807021367138,-6.2971242039496484,3.700777319629231,-0.00025868882093117317,0.0634833573368239,24.114932781906337,1.2014212064138607,0.7977550343119452,0.5398616218544633
37.5,-9.951568599918403,738.8644991308306,-6.729554391297203,3.8367119623146024,0.0007233288423420428,0.06385185753634169,27.32233851975748,1.1673587521779603,0.7947180936553825,0.5387142119665729
39.0,-10.224494317916626,772.9529712831736,-6.804951843021399,4.0447661583303205,-0.000487448282886632,0.0662848096054882,30.424187714962123,1.1845026856329435,0.7892338598084698,0.525379548268853
40.5,-10.343857948155758,791.9339236781707,-6.787086143965098,4.028609502864118,9.220867371600538e-05,0.06315517054880698,33.129933162924566,1.2021598240901623,0.7954957746396549,0.5544070913269344
42.0,-10.084593100377205,773.1728699359747,-6.476969647915178,3.8822736187894304,-0.0001680575824577062,0.06563510510781397,35.19539829692624,1.1606197493800146,0.7807378504509761,0.5017205309108498
43.5,-9.98679947261209,766.0550222247457,-5.955800069842777,3.6381717316991935,9.389598190386993e-05,0.0671407858566324,35.9320070180337,1.207924162665884,0.8132135466817688,0.5350927247087515
45.0,-10.044353833211893,774.1570755516391,-6.005314826900898,3.7797840056374614,0.00022270442171927344,0.07225045946570671,38.09531949210465,1.194804213657468,0.7939852336336952,0.530792861014576
46.5,-10.045406473317883,774.6544728947588,-5.866279949180715,3.848434408886532,-4.905766314612796e-05,0.07596678479190584,37.73495196294662,1.1878652005733128,0.7997643304236999,0.5197337099338614
48.0,-10.068010503112383,777.2740244297561,-5.963200544704399,3.7322969341045553,0.00016267560162908546,0.08235154067278856,37.49029401133123,1.1825575086399422,0.7931726763074286,0.5311660484401844
49.5,-10.041222779711227,774.1372925879036,-6.0245507197114705,3.7963403367340085,0.00016306032167033452,0.1096077323908263,34.526834211755315,1.1850280385547058,0.7977135173543283,0.516041110601563
51.0,-10.093175153675062,779.8008927275018,-5.823354422759415,3.7999760040927306,0.0001657534594824113,0.08975572857671328,36.259475071860436,1.188717528196549,0.8006415742471716,0.5240440445576688
52.5,-10.07699117133,776.4523925217591,-6.494911009504657,3.601232069508507,-0.0001803583151158492,0.13546303973150992,30.66140033794778,1.1591615664215742,0.770362908684762,0.5179111483719749
