T_K,frac_orbach,frac_raman,frac_qtm
18.0,1.449862796871901e-09,0.9999999985499922,1.4498627968718985e-13
21.0,4.394558039001241e-07,0.9999995605441137,8.237378042315498e-14
24.0,2.9891838178869534e-05,0.9999701081617708,5.0475631436034227e-14
27.0,0.0007558768256603866,0.999244123174307,3.2745871100136727e-14
30.0,0.009537916075377142,0.9904620839246008,2.2054647335833004e-14
33.0,0.06947015023494613,0.9305298497650392,1.4607587251865496e-14
36.0,0.28577749994500296,0.7142225000549889,8.14866208783506e-15
37.5,0.45348975687862936,0.5465102431213653,5.36819260024664e-15
39.0,0.6180001475403955,0.3819998524596013,3.249530131843066e-15
40.5,0.7491409603503325,0.2508590396496657,1.8581156407546878e-15
42.0,0.8400187487739825,0.1599812512260164,1.0370128837443556e-15
43.5,0.8983717116521812,0.10162828834781815,5.792082467519936e-16
45.0,0.934698778479909,0.06530122152009071,3.2865603116253655e-16
46.5,0.9572267362786645,0.04277326372133529,1.9088142782231508e-16
48.0,0.971346581417923,0.028653418582076883,1.1381436013968961e-16
49.5,0.9803542253568437,0.019645774643156196,6.970683694009163e-17
51.0,0.9862202532805385,0.013779746719461474,4.382242354391011e-17
52.5,0.9901229783649308,0.009877021635069299,2.824285446458452e-17
