T,Au,Uu,Ru,Nu,Qu,As,Us,Rs,Ns,Qs
40.0,-11.741277,1773.051748,-6.4044939,3.844208,0.0,0.0,9.438767000000002,0.386996,0.23693600000000004,0.531101
42.0,-11.741277,1773.051748,-6.4044939,3.844208,0.0,0.0,9.438767000000002,0.386996,0.23693600000000004,0.531101
44.0,-11.751749950715329,1775.0592122549388,-6.320744851138935,3.8445027802201137,5.96729055067638e-06,0.0,9.456431742089297,0.38671163856978585,0.2366917748833667,0.5298191502333899
46.0,-11.753082904723048,1775.352806667544,-6.304774058048803,3.8445636899214755,7.223736762112702e-06,0.0,9.458604030641194,0.386679071316792,0.2364686836181218,0.5296320421931695
48.0,-11.75597305858144,1775.9610389237414,-6.287500613218604,3.8446305466674566,8.630168791573926e-06,0.0,9.463098013269896,0.38653167837450253,0.23658748308856853,0.5294750263176171
50.0,-11.755177273618969,1776.0207173625251,-6.282957987420725,3.8446607584291375,8.822425923600994e-06,0.0,9.4656567852538,0.38659195695532816,0.23627397931858765,0.5295599131215244
52.0,-11.7564913153419,1776.5167573168203,-6.269941809925037,3.844718726062986,1.0208708915018073e-05,0.0,9.468248874639764,0.38654172252522756,0.23621137570854836,0.529415246829635
54.0,-11.762429595022699,1776.7794214091564,-6.2602263176676,3.8447211335436933,1.0777753702250687e-05,0.0,9.47840314201293,0.38635959136394593,0.23616770099451567,0.529949138573811
56.0,-11.767649008886718,1777.0341884496097,-6.252998710091147,3.8447085479166674,1.1230468750000002e-05,0.0,9.486478276911924,0.3861716842181326,0.2361709165565297,0.5303466637601072
58.0,-11.756292929150597,1777.1658911288769,-6.269690044273493,3.8447426741011963,1.0644203268206549e-05,0.0,9.476470333625745,0.3864866622177833,0.23617318116366195,0.5299122874930536
60.0,-11.755767651465412,1777.2077629800908,-6.2607657620034285,3.8447194492192036,1.0954228977526517e-05,0.0,9.480285108856187,0.3863271539077761,0.2362920476393559,0.5299194805824395
62.0,-11.755557543523835,1777.3793046752505,-6.254185952726768,3.844774664850683,1.220369535218541e-05,0.0,9.490624249514838,0.3865141849695657,0.23610473125946213,0.5302813438409448
64.0,-11.748622630318494,1777.2925350450505,-6.253887454433159,3.844776547698749,1.195900528519242e-05,0.0,9.489581692489317,0.386118270363153,0.2361213699187673,0.5302977659141934
66.0,-11.74705546641241,1779.0008213439946,-6.259764171252798,3.844998747594701,1.065401329925224e-05,0.0,9.479400543018023,0.3863385725727155,0.236177477629599,0.5299745481399379
68.0,-11.744881044430336,1782.5787602951607,-6.2720727251684725,3.8448564614712266,9.493231938650503e-06,0.0,9.472170693381328,0.3864491194133551,0.2364573442240027,0.5303273782790977
70.0,-11.743684569234816,1788.351225547056,-6.227372753395582,3.8451400349813314,1.1233393594818703e-05,0.0,9.479087073609968,0.3864496705081275,0.2360496556528784,0.5301841096364974
71.9,-11.743295197114323,1778.304944622971,-6.284951791821017,3.845266025817871,9.211767160473753e-06,0.0,9.471051004372578,0.38646711594675504,0.2362167491047312,0.5303460617510571
73.81,-11.743266323270404,1780.2803757191323,-6.255484620949419,3.8460821836491172,1.1468389188824383e-05,0.0,9.47935737622055,0.3863417839481071,0.23609490756578366,0.530242095276206
75.69,-11.745698185650925,1785.6280252576566,-6.1408387561297335,3.8498283616060025,1.938818176722673e-05,0.0,9.507249002574534,0.38578556219091065,0.2354821796219764,0.5297176170296505
77.6,-11.746966232595344,1785.5215922230477,-6.140139800413872,3.8502874926698274,1.9638404862699888e-05,0.0,9.506499283241249,0.3856792489938466,0.23552103937388402,0.5297301085905833
79.49,-11.746838731941063,1784.416011182773,-6.124418262554743,3.8530248615630827,2.0411664130462276e-05,0.0,9.52566258634692,0.38549908962237406,0.23554727707075113,0.5297307706481289
81.38,-11.748297275080143,1784.3809015409474,-6.12402028657767,3.8551316776529165,2.0085428535229656e-05,0.0,9.524267480081708,0.38552296885407406,0.23556940862079268,0.5297526429294586
83.29,-11.746216972590137,1780.732799471007,-6.148064107988271,3.852199450050418,1.7662966961729394e-05,0.0,9.59094988161545,0.3856428125723793,0.23579204608931878,0.5298808436384673
85.19,-11.742394078685207,1774.546583125859,-6.121343090194994,3.846682744186251,6.624452034920902e-06,0.0,10.205036084644137,0.3865753938749772,0.23646870088663488,0.5306238670986607
87.11,-11.741277,1773.051748,-6.099518,3.844208,0.0,0.0,10.559929742470242,0.386996,0.23693600000000004,0.531101
89.0,-11.745582958018538,1778.7757544177089,-6.125901420380459,3.8563172581551384,2.1627463334363892e-05,0.0,9.530863601742764,0.38541011067099257,0.235464816580989,0.5296492660303644
90.0,-11.744260395138419,1776.1013054399673,-6.1358711829525445,3.8550123275743884,2.315686677812738e-05,0.0,9.491271297221962,0.38538442160603265,0.2353258270422625,0.529528947182893
91.0,-11.744166557842965,1775.9685585010834,-6.128093121410915,3.857313831282651,2.342408155112774e-05,0.0,9.492658894536488,0.3852786617490663,0.23534301540834268,0.5295288474864066
92.0,-11.743424798974248,1775.006004027925,-6.143121980562814,3.857030791795397,2.2589588500828462e-05,0.0,9.47964722787672,0.3853913488665528,0.2352982773199515,0.5296131124198663
93.0,-11.741277,1773.051748,-6.099518,3.844208,0.0,0.0,9.438767000000002,0.386996,0.23693600000000004,0.531101
94.0,-11.743151527078187,1774.541772931802,-6.129084805435099,3.8579388379896136,2.423700154266177e-05,0.0,9.477016148377567,0.38521919948483596,0.23528792445620983,0.5294743704266319
95.0,-11.743376199139735,1775.0812417130182,-6.138244898348594,3.8581889250841144,2.2770948187597158e-05,0.0,9.48073388871181,0.38524781655499374,0.23526457849953925,0.529546410753008
96.0,-11.744216846344058,1776.072504529218,-6.134255073208964,3.856657616725373,2.259780134869202e-05,0.0,9.492102513180004,0.38541539266615576,0.23500090975748658,0.5295684684940193
97.0,-11.744504705090359,1776.9596019529704,-6.13213819672527,3.8574804456840166,2.2375592521249542e-05,0.0,9.505029858487504,0.3854848330823167,0.23530415747517908,0.5295449190570791
98.0,-11.744517059388274,1776.4160009953753,-6.132196399732659,3.856712392151155,2.220048540366719e-05,0.0,9.496129032067513,0.38549534946736663,0.23526460282051864,0.5295091115873549
99.0,-11.741277,1773.051748,-6.099518,3.844208,0.0,0.0,10.559929742470242,0.386996,0.23693600000000004,0.531101
100.0,-11.75781981968684,1773.646995214042,-6.116438719822716,3.8587509057216067,1.6215556300381723e-05,0.0,9.770440969206804,0.38570901820656306,0.23589016022080875,0.5300413048903588
