T_K,frac_orbach,frac_raman,frac_qtm
9.7,4.491528463730514e-28,0.028980983727790236,0.9710190162722098
12.0,7.312104833836169e-21,0.07260930117201576,0.9273906988279842
14.0,1.5495627515343908e-16,0.13603767905777245,0.8639623209422274
16.0,2.5784635407396597e-13,0.22385009288775443,0.7761499071119876
18.0,7.748660956878718e-11,0.32970491252385015,0.6702950873986633
20.0,6.9602510539650544e-09,0.4422647442570236,0.5577352487827253
22.0,2.5889433161034637e-07,0.5498377249495531,0.45016201615611534
24.0,4.97787923395642e-06,0.6443692231365351,0.3556257989842311
26.0,5.783881754639774e-05,0.7225159886411265,0.2774261725413272
28.0,0.0004543916854668746,0.7843110848617487,0.21523452345278443
30.0,0.002617802856200849,0.830645361229268,0.16673683591453103
32.0,0.011700465924823938,0.8595237497723797,0.12877578430279643
34.0,0.041877027916920474,0.860208942416213,0.09791402966686645
36.0,0.12039048056678461,0.8085780863344955,0.07103143309871998
38.0,0.2720863179680919,0.6810859658794927,0.04682771615241537
40.0,0.4764447850949375,0.49649988015611984,0.027055334748942655
41.0,0.5776471987590981,0.4027308163951275,0.01962198484577436
42.0,0.6677653878651759,0.31832961930240516,0.013904992832418882
43.0,0.7431301131033127,0.24716560062257723,0.009704286274110106
44.0,0.8033321776874952,0.18994801135221664,0.006719810960288155
45.0,0.84996389194642,0.14539071233279563,0.0046453957207844105
46.0,0.8854153797442559,0.11136380248631463,0.0032208177694295612
47.0,0.9121089628826892,0.08564412437715486,0.0022469127401560374
48.0,0.9321444600253432,0.06627503300824511,0.001580506966411683
49.0,0.9472012445493673,0.051676347740824774,0.0011224077098079444
50.0,0.9585637136415053,0.040631002956186144,0.0008052834023085295
51.0,0.9671901610492524,0.032225967717516894,0.000583871233230806
52.0,0.9737864974965729,0.025785677166933762,0.0004278253364933617
53.0,0.9788699817326828,0.020813256362169883,0.00031676190514743973
54.0,0.9828194489033025,0.016943629206969995,0.00023692188972760807
55.0,0.9859130705034629,0.013907974580072199,0.00017895491646483712
56.0,0.9883560337977414,0.011507510107993637,0.00013645609426490428
57.0,0.9903005695747625,0.009594430166013357,0.00010500025922409262
58.0,0.9918603610538828,0.00805813636514719,8.1502580969938e-05
